2022-11-18 14:28:45.560 uiautomation.py[6473] Refind -> 2022-11-18 14:34:04.560 Tools.py[12] GetMainWindow -> Find Control Timeout(20s): {Name: '增值税发票税控开票软件（金税盘版）', ControlType: WindowControl}
2022-11-18 14:34:27.188 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:34:41.664 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:34:42.202 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:34:42.747 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:34:43.264 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:35:05.956 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:35:19.909 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:35:20.431 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:35:20.960 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:35:21.508 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:35:29.693 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:35:43.604 Invoice.py[164] ShouldDoubleClickQueryResult -> 2022-11-18 14:45:45.275 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:46:00.054 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:46:00.592 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:46:01.123 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:46:01.640 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:46:10.406 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:46:25.298 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:46:25.818 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
